pair_id,type,a_id,a_name,b_id,b_name,same_probability,part_of_probability,tier,survivor_suggestion,reasons,a_desc_excerpt,b_desc_excerpt
argument_alexander_witness2_envelope_amand1945__argument_carneadean_providence_mantike_alexander_amand1945,argument,argument_alexander_witness2_envelope_amand1945,Argument-cadre du témoin n°2 Alexandre De Fato 16-20 — enveloppe quinquépartite de la diatribe antifataliste,argument_carneadean_providence_mantike_alexander_amand1945,Carneadean supplementary argument — Abolition of the providence of the gods and of divination (Alexander §17),0.13,0.73,<=0.3,argument_alexander_witness2_envelope_amand1945,description_token_overlap;label_token_overlap,"General argumentative framework identified by Amand 1945 (p. 148, ll. 8481-8530) within Alexander’s De Fato 16-20. According to Amand, Alexander ""accumulates moral arguments against Chrysippus’ absolu","Supplementary argument to argument VI (the destruction of piety), reconstructed by Amand (1945, p. 584-585) on the exclusive testimony of Alexander of Aphrodisias (Περὶ εἱμαρμένης 17). According to Am"
argument_alexander_witness2_ch19_de_facto_punishment_amand1945__argument_carneadean_stoic_pragmatic_punishment_amand1945,argument,argument_alexander_witness2_ch19_de_facto_punishment_amand1945,Witness no. 2 (Alexander De Fato 19) — Fifth argument: the Stoics’ actual punishment of criminals,argument_carneadean_stoic_pragmatic_punishment_amand1945,Carneadean Argument — The Stoics Do in Fact Punish Criminals (Alexander §19),0.84,0.73,0.7-0.9,argument_carneadean_stoic_pragmatic_punishment_amand1945,description_token_overlap;label_token_overlap,"Fifth anti-fatalist moral argument reconstructed in Alexander De Fato 19 (Bruns p. 189 l. 25 — p. 190 l. 30) by Amand 1945 (analysis p. 147-148, Greek text p. 152-154). The Stoics acknowledge in pract","Additional argument reconstructed by Amand (1945, p. 585-586) on the sole testimony of Alexander of Aphrodisias (Περὶ εἱμαρμένης 19, 5e argument). Statement: “The Stoics virtually acknowledge our free"
argument_bobzien_2001_b1_chrysippean_modal_system__scholarly_argument_bobzien_stoic_modal_logic_and_continge_2,argument,argument_bobzien_2001_b1_chrysippean_modal_system,Bobzien 2001 — Chrysippe construit un systeme modal preservant la contingence,scholarly_argument_bobzien_stoic_modal_logic_and_continge_2,Bobzien: Chrysippus developed a modal system that allows for contingency within determini,0.76,0.73,0.7-0.9,argument_bobzien_2001_b1_chrysippean_modal_system,description_token_overlap;label_token_overlap,"Bobzien 2001 §3.1.4 (p. 112-122) + §3.4 (p. 136-143) reconstruction of the Chrysippean modal system. Definitions: (1) the possible = that which admits truth, encountering no external obstacle to its r",Chrysippus' modal system preserves counterfactual possibilities and hence contingency within his determinism (§3.1). Against the charge that 'everything is fated' plus 'fate is Necessity' yields 'ever
scholarly_argument_brand_genre_determines_free_will_view__scholarly_argument_brand_prayer_genre_sin_inevitable,argument,scholarly_argument_brand_genre_determines_free_will_view,"Brand: a Second Temple text's view of free will correlates with its genre, not a single 'Qumran theology'",scholarly_argument_brand_prayer_genre_sin_inevitable,Brand: the prayer genre presents sin as innate and inevitable absent divine assistance,0.21,0.73,<=0.3,scholarly_argument_brand_genre_determines_free_will_view,description_token_overlap;label_token_overlap,"Brand's organizing thesis. Against the trend to harmonize a single deterministic 'Qumran theology' of sin, she shows that Second Temple texts (including those at Qumran) display unremarked variability","Brand argues that the experience of prayer itself shapes a near-deterministic view of sin: confronting God's exaltedness, petitioners express helplessness and an acknowledgement that their desire to s"
argument_alexander_witness2_envelope_amand1945__argument_carneadean_incentives_amand1945,argument,argument_alexander_witness2_envelope_amand1945,Argument-cadre du témoin n°2 Alexandre De Fato 16-20 — enveloppe quinquépartite de la diatribe antifataliste,argument_carneadean_incentives_amand1945,"Argument carnéadien IV — Encouragements, récompenses, réprimandes et châtiments sont sans objet (futility of incentives)",0.05,0.73,<=0.3,argument_carneadean_incentives_amand1945,description_token_overlap;label_token_overlap,"General argumentative framework identified by Amand 1945 (p. 148, ll. 8481-8530) within Alexander’s De Fato 16-20. According to Amand, Alexander ""accumulates moral arguments against Chrysippus’ absolu","Fourth of the six argumentative headings reconstructed by Amand (1945, p. 577-578). Amand’s formulation: « Under the hypothesis of absolute fatalism, encouragements and rewards, reproaches, reprimands"
synthesis_amand1945_intro_astrologers_pragmatic_responses__synthesis_amand1945_tatian_no_carneadean_link,synthesis,synthesis_amand1945_intro_astrologers_pragmatic_responses,Réponses pragmatiques des astrologues à Carnéade (Amand 1945),synthesis_amand1945_tatian_no_carneadean_link,Tatien = sans dependance directe ou indirecte de Carneade (Amand 1945),0.11,0.73,<=0.3,synthesis_amand1945_intro_astrologers_pragmatic_responses,description_token_overlap;label_token_overlap,"Amand 1945's thesis (Introduction §I.VII, p. 16-18): faced with Carneades' anti-fatalist moral argumentation, which was opposed to them for centuries by Neo-Academics, Peripatetics, Epicureans, Skepti","Synthesis Amand 1945, Book II ch. I Supplementary Note (p. 208-211): Tatian’s anti-astrological polemic (Discours aux Grecs ch. 7-11) is not connected with the Carneadean tradition. Tatian, whose 'vio"
sc268_origenes_peri_archon__work_origen_philocalia,work,sc268_origenes_peri_archon,"Origenes, De Principiis (Excerpta graeca)",work_origen_philocalia,Philocalia (Φιλοκαλία Ὠριγένους),0.19,0.73,<=0.3,work_origen_philocalia,description_token_overlap,"Origen of Alexandria (c. 185-253 CE), Peri Archon III (De Principiis III). Greek excerpts preserved in the Philocalia (ch. 21), covering Book III which is the most sustained ancient Christian treatmen","Anthology of excerpts from Origen's works, compiled c. 358-359 CE by Basil of Caesarea and Gregory of Nazianzus. Critically important for preserving Greek text of De Principiis III.1 (On Free Will), w"
synthesis_amand1945_arian_job_witness_carneadean_pity_argument__synthesis_amand1945_basil_only_two_carneadean_topoi,synthesis,synthesis_amand1945_arian_job_witness_carneadean_pity_argument,Commentateur arien de Job = temoin du topos carnéadien (pardon des criminels) (Amand 1945),synthesis_amand1945_basil_only_two_carneadean_topoi,Amand 1945: Basil deploys only two explicit Carneadean topoi (Hex VI.7),0.53,0.73,0.3-0.7,synthesis_amand1945_arian_job_witness_carneadean_pity_argument,description_token_overlap,"Synthesis Amand 1945, Book II ch. XIII (p. 533-548): the anti-astrological digression of the anonymous Arian commentator on Job 38, 7 contains eleven arguments, at least three of which bear the Carnea","Amand's synthesis: Basil does not reproduce or summarize the entirety of Carneades' argumentation. He elaborates only two explicit topoï: (a) the uselessness of legislation, courts, and the efforts of"
argument_carneadean_anti_mantike_amand1945__argument_carneadean_general_theme_amand1945,argument,argument_carneadean_anti_mantike_amand1945,"Argument carnéadien anti-mantique général (refutation de la μαντική, ch. II §IV)",argument_carneadean_general_theme_amand1945,Argument carnéadien I — Thème général : le fatalisme bouleverse la vie morale (general moral collapse),0.53,0.73,0.3-0.7,argument_carneadean_general_theme_amand1945,label_token_overlap,"General anti-divinatory argument reconstructed by Amand in Carneades (1945, p. 46-49, Intro §II ch. II §IV). In accordance with Amand's polemical plan, this argument constitutes the general framework ","First of the six argumentative headings reconstructed by Dom David Amand de Mendieta (1945, p. 573-574). Framing argument: ""The logical consequence of the denial of free will and the acceptance of abs"
scholarly_argument_rousseau_editorial_methodology_on_deter_3__scholarly_argument_rousseau_free_will_in_irenaeus_0,argument,scholarly_argument_rousseau_editorial_methodology_on_deter_3,Rousseau: Rousseau's critical edition carefully distinguishes Irenaeus's own voice from hi,scholarly_argument_rousseau_free_will_in_irenaeus_0,Rousseau: This is a critical edition with French translation of Irenaeus' Adversus Haerese,0.69,0.72,0.3-0.7,scholarly_argument_rousseau_editorial_methodology_on_deter_3,description_token_overlap;label_token_overlap,"Rousseau and Doutreleau's SC 264 (Livre I, text and translation) provides a critical Latin text with Greek fragments, a French translation and an apparatus whose sigla (p. 9) designate the Latin manus","free will in Irenaeus — This is a critical edition with French translation of Irenaeus' Adversus Haereses Book V, not a secondary study; the editor Rousseau does not explicitly advance interpretive po"
argument_necessitarian_argument_42a52b1b__argument_spinozan_necessitarianism_9u3p4q02,argument,argument_necessitarian_argument_42a52b1b,Necessitarian Argument,argument_spinozan_necessitarianism_9u3p4q02,Spinoza's Necessitarian Argument,0.34,0.72,0.3-0.7,argument_necessitarian_argument_42a52b1b,description_token_overlap;label_token_overlap,"The necessitarian argument denies libertarian free will and holds that all events, including human choices, follow necessarily from prior causes according to natural laws. Freedom is redefined as acti","Spinoza's argument that everything follows necessarily from God's nature; traditional free will is illusion. Freedom = self-determination through adequate knowledge, not arbitrary choice. The free per"
sc10bis_ignatius_ad_smyrnaeos__sc10bis_ignatius_ad_trallianos,work,sc10bis_ignatius_ad_smyrnaeos,"Ignatius, Ad Smyrnaeos",sc10bis_ignatius_ad_trallianos,"Ignatius, Ad Trallianos",0.25,0.72,<=0.3,sc10bis_ignatius_ad_trallianos,description_token_overlap;label_token_overlap,"Letter to the Smyrnaeans (Epistula ad Smyrnaeos), written by Ignatius of Antioch c. 110-117 CE while en route to martyrdom in Rome, addressed to the Christian community at Smyrna in Roman Asia. The le","Ignatius of Antioch (c. 35-117 CE), Epistula ad Trallianos (Πρὸς Τραλλιανούς). One of the seven authentic middle-recension letters, written from Smyrna en route to martyrdom in Rome. The letter addres"
scholarly_argument_frick_divine_providence_and_moral_re_0__scholarly_argument_frick_rejection_of_astral_fatalism_2,argument,scholarly_argument_frick_divine_providence_and_moral_re_0,Frick: Philo rejects astral fatalism because it renders absurd the notion of moral resp,scholarly_argument_frick_rejection_of_astral_fatalism_2,Frick: Philo rejects astral fatalism's assumptions: the divinity of stars and moral det,0.27,0.72,<=0.3,scholarly_argument_frick_divine_providence_and_moral_re_0,label_token_overlap,Faithful as written; only the page of the quote_verbatim is wrong.,rejection of astral fatalism — Philo rejects astral fatalism's assumptions: the divinity of stars and moral determinism; stars cannot be transcendent as God and thus lack causal influence over human l
argument_basil_carneadean_hex_vi_7_christian_hopes_destroyed__argument_basil_carneadean_hex_vi_7_laws_useless,argument,argument_basil_carneadean_hex_vi_7_christian_hopes_destroyed,Basil Hex VI.7: Carneadean topos — Christian hopes destroyed by heimarmene,argument_basil_carneadean_hex_vi_7_laws_useless,"Basil Hex VI.7: Carneadean topos — Legislators, judges, craftsmen useless under heimarmene",0.5,0.71,0.3-0.7,argument_basil_carneadean_hex_vi_7_laws_useless,description_token_overlap;label_token_overlap,"Second explicit Carneadean topos + Christian adaptation, Basil Hex VI.7 (PG 29.133BC): 'Our great hopes as Christians vanish (αἱ δὲ μεγάλαι τῶν χριστιανῶν ἐλπίδες φροῦδαι ἡμῖν οἰχήσονται), since there","First explicit Carneadean topos in Basil Hex VI.7 (PG 29.133BC): if the principles of our actions do not depend on our free will, but on the fatal necessities of birth, then 'lawgivers who prescribe w"
scholarly_argument_still_paul_s_role_as_apologist_and_d_0__scholarly_argument_still_pauline_reception_in_early_chr_1,argument,scholarly_argument_still_paul_s_role_as_apologist_and_d_0,"Still: The volume explores how early Christian apologists engaged with Paul's writings,",scholarly_argument_still_pauline_reception_in_early_chr_1,Still: The volume as a whole examines how second- to early-fourth-century Christian apologists (Ar,0.79,0.71,0.7-0.9,scholarly_argument_still_pauline_reception_in_early_chr_1,description_token_overlap;label_token_overlap,"The Apologists and Paul (eds Still & Wilhite, 2024). Wilhite's Introduction (pp. 1-20) treats 'apologist' as an unstable, pragmatic, catch-all category, and asks whether Paul himself might be consider","Edited volume (Still & Wilhite, 2024; 15 contributors) on Paul's reception among writers grouped, pragmatically, as apologists: Aristides, Justin, Tatian, Athenagoras and Pseudo-Athenagoras, Melito, A"
scholarly_argument_maston_divine_human_agency_in_second__0__scholarly_argument_maston_free_will_and_determinism_in_s_1,argument,scholarly_argument_maston_divine_human_agency_in_second__0,Maston: Argues that Jewish texts from the Second Temple period exhibit diverse models of,scholarly_argument_maston_free_will_and_determinism_in_s_1,Maston: Maintains that Sirach presents humans as genuinely free and capable of obeying T,0.33,0.71,0.3-0.7,scholarly_argument_maston_divine_human_agency_in_second__0,description_token_overlap;label_token_overlap,"divine-human agency in Second Temple Judaism — Argues that Jewish texts from the Second Temple period exhibit diverse models of divine-human agency, not a single uniform pattern. Sirach represents a '",free will and determinism in Sirach — Maintains that Sirach presents humans as genuinely free and capable of obeying Torah. Wisdom is available through human effort and endurance. Divine providence op
synthesis_aug_superbia__synthesis_aug_theodicy_complete,synthesis,synthesis_aug_superbia,Augustine: Pride (Superbia) as Root of All Sin (De Libero Arbitrio 3.25.76),synthesis_aug_theodicy_complete,Augustine: Complete Theodicy of De Libero Arbitrio (Summary),0.12,0.71,<=0.3,synthesis_aug_theodicy_complete,description_token_overlap;label_token_overlap,"pride AS THE origin OF EVIL Augustine identifies SUPERBIA (pride) as the ultimate root of all sin, explaining even the devil's fall. KEY Passage: 3.25.76 (passage_aug_lib_arb_3_25_76): ""Initium omnis ",THE COMPLETE THEODICY OF DE Libero Arbitrio Augustine's three-book dialogue provides a comprehensive answer to the problem of evil that defended Christianity against Manichean dualism. THE MANICHEAN C
argument_bobzien_2001_b1_cylinder_in_later_fate_theory__argument_bobzien_2001_b1_philopator_late_compatibilism,argument,argument_bobzien_2001_b1_cylinder_in_later_fate_theory,Bobzien 2001 — Reprise of the cylinder analogy in the later theory of fate (§8.6),argument_bobzien_2001_b1_philopator_late_compatibilism,Bobzien 2001 — PHILOPATOR : compatibilisme stoicien tardif raffine (Ch. 8),0.37,0.71,0.3-0.7,argument_bobzien_2001_b1_philopator_late_compatibilism,description_token_overlap,Bobzien 2001 §8.6 (p. 394-396) argument: the Chrysippean analogy of the cylinder is taken up and systematized in late Stoic theory (PHILOPATOR + sources preserved by Nemesius). This late reprise: (1) ,Bobzien 2001 ch. 8 (p. 358-412): reconstruction of a late Stoic compatibilist theory (1st-2nd century CE) conventionally attributed to 'PHILOPATOR'. Innovations: (1) refined causal principle — same ca
argument_carneadean_piety_amand1945__argument_firmicus_witness3_religion_useless_amand1945,argument,argument_carneadean_piety_amand1945,Carneadean Argument VI — Absolute fatalism ruins piety and religion (ruin of piety),argument_firmicus_witness3_religion_useless_amand1945,"Témoin n°3 (Firmicus Math I, 2, 8-9) — Deuxième argument : mépris des dieux et inutilité des rites",0.22,0.71,<=0.3,argument_carneadean_piety_amand1945,description_token_overlap,"Sixth of the six argumentative titles reconstructed by Amand (1945, p. 580-581). Amand's formulation: ""Absolute fatalism undermines piety towards the Divinity, inspires contempt for the gods, and logi","Second anti-fatalist moral argument reconstructed in Firmicus Mathesis I, 2, 8-9 (Kroll-Skutsch I p. 8) by Amand 1945 (analysis p. 186, Latin text p. 187). Logical conclusion of astrological fatalism:"
argument_origen_anti_astrological__scholarly_argument_sytsma_providence_is_saving_grace,argument,argument_origen_anti_astrological,Origen's Anti-Astrological Argument for Free Will,scholarly_argument_sytsma_providence_is_saving_grace,"Sytsma: in Origen divine providence IS saving grace (pronoia/oikonomia = charis), strengthening the 'grace' side of grace-vs-free-will",0.76,0.71,0.7-0.9,argument_origen_anti_astrological,description_token_overlap,"Origen argues against astrological determinism in the Commentary on Genesis III (fragments in Philocalia ch. 23): (1) Stars are signs (σημεῖα), not causes (αἰτίαι) — Genesis 1:14 says God made luminar","Sytsma argues (confirming Drewery and citing Koch's pronoia/paideusis) that for Origen divine providence is essentially identical with saving grace: every providential act — reward, punishment, teachi"
pub_byerly_2017_freewill_theodicies_theological_determinists__pub_harrison_2006_rethinking_augustines_early_theology,publication,pub_byerly_2017_freewill_theodicies_theological_determinists,"Byerly, T.R. (2017). Free Will Theodicies for Theological Determinists. Sophia 56: 289-310.",pub_harrison_2006_rethinking_augustines_early_theology,Harrison 2006 — Rethinking Augustine's Early Theology: An Argument for Continuity,0.07,0.71,<=0.3,pub_byerly_2017_freewill_theodicies_theological_determinists,description_token_overlap,"Article by T. Ryan Byerly (*Sophia* 56/2, 2017, p. 289-310) examining the possibility of a 'free-will theodicy' compatible with theological determinism—that is, the thesis that God causally determines","Carol Harrison, Rethinking Augustine's Early Theology: An Argument for Continuity, Oxford: Oxford University Press, 2006. The standard continuity reading, directed against the rupture account: Barclay"
argument_bobzien_2001_b1_rise_fall_freedom_problem__scholarly_argument_bobzien_later_stoic_compatibilism_phil_6,argument,argument_bobzien_2001_b1_rise_fall_freedom_problem,Bobzien 2001 — The Rise and Fall of the Problem of the Freedom to Act Otherwise (§8.7),scholarly_argument_bobzien_later_stoic_compatibilism_phil_6,Bobzien: A later Stoic theory attributed to 'PHILOPATOR' refines compatibilism by introdu,0.2,0.71,<=0.3,argument_bobzien_2001_b1_rise_fall_freedom_problem,description_token_overlap,"Argument-conclusion Bobzien 2001 §8.7 (p. 396-412): traces the emergence and disappearance of the problem of freedom to do otherwise in ancient philosophy. (1) The early Stoa (Zeno, Cleanthes, Chrysip","later Stoic compatibilism (PHILOPATOR) — A later Stoic theory attributed to 'PHILOPATOR' refines compatibilism by introducing a more sophisticated causal principle (same cause, same circumstances, sam"
argument_pseudo_chrysostom_de_fato_recapitulation_amand1945__argument_pseudo_chrysostom_de_fato_v_apologetic_amand1945,argument,argument_pseudo_chrysostom_de_fato_recapitulation_amand1945,"Pseudo-Chrysostom De Fato V — récapitulation oratoire 'εἰ γένεσίς ἐστι, ...'",argument_pseudo_chrysostom_de_fato_v_apologetic_amand1945,Pseudo-Chrysostom De Fato V — heimarmene comme barbarie injuste,0.24,0.7,<=0.3,argument_pseudo_chrysostom_de_fato_v_apologetic_amand1945,description_token_overlap;label_token_overlap,"Famous rhetorical recapitulation by Pseudo-Chrysostom at the end of Discours V (PG 50, 768 l.30-44). A rhetorical climax condensing, in eight parallel negations, the entire anti-fatalist moral argumen","Pseudo-Chrysostom’s argument in Discourse V (8th argument according to Amand, PG 50, 767-768): heimarmene is doubly absurd and barbarous—it compels human beings towards vice, then demands their punish"
scholarly_argument_munier_free_will_and_determinism_in_j_0__scholarly_argument_munier_free_will_in_justin_martyr_s_a_0,argument,scholarly_argument_munier_free_will_and_determinism_in_j_0,Munier: The work is a comprehensive study of Justin's Apology that addresses theological,scholarly_argument_munier_free_will_in_justin_martyr_s_a_0,Munier: Munier presents Justin as defending Christian doctrines including 'le libre arbi,0.83,0.7,0.7-0.9,scholarly_argument_munier_free_will_in_justin_martyr_s_a_0,description_token_overlap;label_token_overlap,"Munier treats free will within ch. IX.4 'L'homme et son salut'. Moral responsibility and free will are closely interdependent in Justin, as in most Apologists; free will is a 'pièce maîtresse' of earl","In his introduction Munier says of the second-century Greek apologists as a group that, before pagan masses and philosophers, they firmly defended the Christian dogmas, notably monotheism, free will a"
